                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3767,                 2.5402,                 5.3255,                 1.2352,                0.85618,                    0.5,                 0.4975,                0.38361,                0.85618,                    0.5,                 0.4975,                0.36064,                0.84075,                 1.5173,                 7.0152,                0.95006,             0.00010002,             0.00010002,             0.00010002
                      1,                 1.1915,                 2.0138,                 3.0891,                 1.0131,                  0.993,                    0.5,                 0.4975,                 0.3588,                  0.993,                    0.5,                 0.4975,                 0.3442,                  1.208,                 1.7634,                 4.4888,                 1.0525,             0.00021456,             0.00021456,             0.00021456
                      2,                 1.1881,                 1.9291,                 2.9497,                  1.093,                0.99725,                    0.5,                0.61231,                0.43155,                0.99725,                    0.5,                0.61231,                0.41049,                 1.1188,                 1.5643,                 2.8532,                 1.0135,              0.0003268,              0.0003268,              0.0003268
                      3,                 1.1844,                 1.4949,                 2.9822,                 0.9376,                0.86905,                      1,                  0.995,                0.70466,                0.86905,                      1,                  0.995,                0.73392,                0.95303,                 1.2978,                 2.9322,                0.96181,             0.00043672,             0.00043672,             0.00043672
                      4,                 1.3494,                  1.556,                 4.0377,                 1.0821,                0.86905,                      1,                  0.995,                0.70466,                0.86905,                      1,                  0.995,                0.73392,                0.95303,                 1.2978,                 2.9322,                0.96181,             0.00054434,             0.00054434,             0.00054434
                      5,                 1.1103,                 1.5905,                 4.0011,                0.90727,                0.06077,                   0.15,                0.03623,                0.02257,                0.06077,                   0.15,                0.03623,                 0.0241,                 1.1546,                 1.8725,                 9.7839,                 1.0745,             0.00064964,             0.00064964,             0.00064964
                      6,                 1.5043,                  2.172,                 3.0276,                 1.0886,                0.06077,                   0.15,                0.03623,                0.02257,                0.06077,                   0.15,                0.03623,                 0.0241,                 1.1546,                 1.8725,                 9.7839,                 1.0745,             0.00075263,             0.00075263,             0.00075263
                      7,                 1.3938,                 1.7589,                 2.9979,                 1.0782,                0.67311,                    0.5,                0.48485,                0.31662,                0.67311,                    0.5,                0.48485,                0.33473,                 1.2153,                 1.6023,                 12.629,                 1.1658,             0.00085331,             0.00085331,             0.00085331
                      8,                 1.7284,                 1.3242,                 1.9898,                 1.1045,                0.67311,                    0.5,                0.48485,                0.31662,                0.67311,                    0.5,                0.48485,                0.33473,                 1.2153,                 1.6023,                 12.629,                 1.1658,             0.00095168,             0.00095168,             0.00095168
                      9,                  1.267,                 1.8708,                 3.0075,                0.90561,                0.67311,                    0.5,                0.48485,                0.31662,                0.67311,                    0.5,                0.48485,                0.33473,                 1.2153,                 1.6023,                 12.629,                 1.1658,              0.0010477,              0.0010477,              0.0010477
                     10,                 1.4124,                 1.8816,                 2.3598,                 1.1673,                0.67311,                    0.5,                0.48485,                0.31662,                0.67311,                    0.5,                0.48485,                0.33473,                 1.2153,                 1.6023,                 12.629,                 1.1658,              0.0011415,              0.0011415,              0.0011415
                     11,                 1.9896,                 2.4097,                 3.8615,                 1.3057,                0.00068,                0.33333,                0.00058,                0.00017,                0.00034,                0.16667,                0.00023,                  7e-05,                  1.959,                 4.3693,                 257.21,                 1.4659,              0.0012329,              0.0012329,              0.0012329
                     12,                 2.0105,                  2.905,                 5.3799,                 1.2946,                0.00068,                0.33333,                0.00058,                0.00017,                0.00034,                0.16667,                0.00023,                  7e-05,                  1.959,                 4.3693,                 257.21,                 1.4659,              0.0013221,              0.0013221,              0.0013221
                     13,                 2.1785,                 3.0482,                 5.0175,                 1.2731,                0.00068,                0.33333,                0.00058,                0.00017,                0.00034,                0.16667,                0.00023,                  7e-05,                  1.959,                 4.3693,                 257.21,                 1.4659,              0.0014089,              0.0014089,              0.0014089
                     14,                 2.3305,                 3.6154,                 4.8544,                 1.3628,                0.00068,                0.33333,                0.00058,                0.00017,                0.00034,                0.16667,                0.00023,                  7e-05,                  1.959,                 4.3693,                 257.21,                 1.4659,               0.001436,               0.001436,               0.001436
                     15,                 2.1874,                  3.883,                   4.74,                 1.4509,                0.01932,                    0.5,                0.02276,                0.00623,                0.01095,                0.46667,                0.01213,                0.00187,                 2.6676,                 4.3541,                 1632.2,                 1.8728,               0.001436,               0.001436,               0.001436
                     16,                 2.3609,                 3.8347,                  3.835,                 1.6082,                0.01932,                    0.5,                0.02276,                0.00623,                0.01095,                0.46667,                0.01213,                0.00187,                 2.6676,                 4.3541,                 1632.2,                 1.8728,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.3066,                 4.0076,                 4.2854,                  1.732,                0.01932,                    0.5,                0.02276,                0.00623,                0.01095,                0.46667,                0.01213,                0.00187,                 2.6676,                 4.3541,                 1632.2,                 1.8728,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.2582,                 3.9512,                 3.4152,                 1.3665,                0.01932,                    0.5,                0.02276,                0.00623,                0.01095,                0.46667,                0.01213,                0.00187,                 2.6676,                 4.3541,                 1632.2,                 1.8728,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.7335,                 4.6429,                 3.4421,                 1.6834,                0.01932,                    0.5,                0.02276,                0.00623,                0.01095,                0.46667,                0.01213,                0.00187,                 2.6676,                 4.3541,                 1632.2,                 1.8728,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.8393,                 3.2881,                 5.1472,                 1.2468,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                 1.7518,                 4.9253,                 144.93,                 1.3961,              0.0013534,              0.0013534,              0.0013534
                     21,                  2.031,                 2.7794,                 4.6166,                 1.3417,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                 1.7518,                 4.9253,                 144.93,                 1.3961,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.0717,                 2.6223,                 6.2976,                 1.4005,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                 1.7518,                 4.9253,                 144.93,                 1.3961,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.6871,                 2.8363,                 5.9475,                 1.2236,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                 1.7518,                 4.9253,                 144.93,                 1.3961,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.9197,                 3.0279,                 3.7169,                 1.3795,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                0.02596,                 552.92,                 6781.1,                0.03441,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.7149,                 7.9121,                 5.2899,                 1.3276,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                0.02596,                 552.92,                 6781.1,                0.03441,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.0137,                 5.3233,                 4.7946,                 1.3607,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                0.02596,                 552.92,                 6781.1,                0.03441,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.7465,                 5.7692,                  5.131,                 1.3523,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                0.02596,                 552.92,                 6781.1,                0.03441,              0.0012379,              0.0012379,              0.0012379
                     28,                 2.3726,                 8.9075,                 5.4169,                 1.4686,                0.48754,                    0.5,                 0.4975,                0.34732,                0.48754,                    0.5,                 0.4975,                0.29907,                0.02596,                 552.92,                 6781.1,                0.03441,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.7362,                 3.0091,                 4.8192,                 1.3015,                0.00275,                0.66667,                 0.2255,                 0.0409,                0.00275,                0.66667,                0.22589,                0.07906,                 1.7664,                 2.4619,                 4.4328,                 1.2621,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.9347,                 2.4264,                 4.5908,                 1.5229,                0.00275,                0.66667,                 0.2255,                 0.0409,                0.00275,                0.66667,                0.22589,                0.07906,                 1.7664,                 2.4619,                 4.4328,                 1.2621,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.0321,                 2.9939,                 4.1328,                 1.3298,                0.00275,                0.66667,                 0.2255,                 0.0409,                0.00275,                0.66667,                0.22589,                0.07906,                 1.7664,                 2.4619,                 4.4328,                 1.2621,              0.0011719,              0.0011719,              0.0011719
                     32,                 2.0513,                 2.8596,                 4.4623,                 1.4226,                0.00275,                0.66667,                 0.2255,                 0.0409,                0.00275,                0.66667,                0.22589,                0.07906,                 1.7664,                 2.4619,                 4.4328,                 1.2621,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.9186,                 2.9679,                 4.4707,                 1.3905,                0.00275,                0.66667,                 0.2255,                 0.0409,                0.00275,                0.66667,                0.22589,                0.07906,                 1.7664,                 2.4619,                 4.4328,                 1.2621,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.8784,                 4.0405,                 5.6711,                  1.457,                0.29125,                   0.95,                 0.5886,                0.24143,                0.29125,                   0.95,                 0.5886,                0.25192,                 1.5786,                 7.8104,                 3.5146,                 1.5209,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.8964,                 5.5134,                 5.1791,                 1.3953,                0.29125,                   0.95,                 0.5886,                0.24143,                0.29125,                   0.95,                 0.5886,                0.25192,                 1.5786,                 7.8104,                 3.5146,                 1.5209,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.6595,                 4.1428,                 4.1828,                 1.4097,                0.29125,                   0.95,                 0.5886,                0.24143,                0.29125,                   0.95,                 0.5886,                0.25192,                 1.5786,                 7.8104,                 3.5146,                 1.5209,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.0098,                 4.0492,                 4.8881,                 1.4732,                0.29125,                   0.95,                 0.5886,                0.24143,                0.29125,                   0.95,                 0.5886,                0.25192,                 1.5786,                 7.8104,                 3.5146,                 1.5209,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7976,                 3.2946,                 5.1203,                 1.1865,                0.98276,                    0.5,                0.50248,                0.31231,                0.98276,                    0.5,                0.50248,                0.29282,                 1.3651,                 2.7447,                 2.5886,                 1.2356,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7466,                 2.1271,                  3.367,                 1.3327,                0.98276,                    0.5,                0.50248,                0.31231,                0.98276,                    0.5,                0.50248,                0.29282,                 1.3651,                 2.7447,                 2.5886,                 1.2356,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2762,                 2.3765,                 3.1294,                 1.0448,                0.98276,                    0.5,                0.50248,                0.31231,                0.98276,                    0.5,                0.50248,                0.29282,                 1.3651,                 2.7447,                 2.5886,                 1.2356,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7954,                 2.6936,                 3.4458,                 1.3451,                0.98276,                    0.5,                0.50248,                0.31231,                0.98276,                    0.5,                0.50248,                0.29282,                 1.3651,                 2.7447,                 2.5886,                 1.2356,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8293,                 1.9419,                 3.2589,                  1.302,                0.98276,                    0.5,                0.50248,                0.31231,                0.98276,                    0.5,                0.50248,                0.29282,                 1.3651,                 2.7447,                 2.5886,                 1.2356,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.0345,                 3.5467,                 3.6656,                 1.3303,                0.50412,                   0.45,                0.04968,                0.01792,                0.50412,                   0.45,                0.07924,                 0.0313,                 1.6001,                 1.8405,                 14.774,                 1.3163,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.5345,                 3.8937,                 3.0066,                 1.3504,                0.50412,                   0.45,                0.04968,                0.01792,                0.50412,                   0.45,                0.07924,                 0.0313,                 1.6001,                 1.8405,                 14.774,                 1.3163,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5533,                  2.934,                 3.6887,                 1.1708,                0.50412,                   0.45,                0.04968,                0.01792,                0.50412,                   0.45,                0.07924,                 0.0313,                 1.6001,                 1.8405,                 14.774,                 1.3163,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.7645,                 3.4705,                 3.3259,                 1.2682,                0.50412,                   0.45,                0.04968,                0.01792,                0.50412,                   0.45,                0.07924,                 0.0313,                 1.6001,                 1.8405,                 14.774,                 1.3163,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.8733,                 3.6027,                 4.0134,                 1.5178,                0.20093,                    0.5,                0.46083,                0.25213,                0.20093,                    0.5,                0.46083,                0.22091,                 1.7368,                 2.1079,                 12.446,                 1.3594,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.6106,                 2.6991,                 3.2937,                 1.2491,                0.20093,                    0.5,                0.46083,                0.25213,                0.20093,                    0.5,                0.46083,                0.22091,                 1.7368,                 2.1079,                 12.446,                 1.3594,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.5581,                  2.082,                 3.1332,                 1.2379,                0.20093,                    0.5,                0.46083,                0.25213,                0.20093,                    0.5,                0.46083,                0.22091,                 1.7368,                 2.1079,                 12.446,                 1.3594,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.6537,                 2.4828,                  2.757,                 1.1993,                0.20093,                    0.5,                0.46083,                0.25213,                0.20093,                    0.5,                0.46083,                0.22091,                 1.7368,                 2.1079,                 12.446,                 1.3594,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.6847,                  3.611,                  3.264,                 1.2121,                0.20093,                    0.5,                0.46083,                0.25213,                0.20093,                    0.5,                0.46083,                0.22091,                 1.7368,                 2.1079,                 12.446,                 1.3594,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6923,                 2.6092,                 2.7525,                 1.1206,                0.01139,                    0.4,                0.01626,                0.00964,                0.01139,                    0.4,                0.01626,                0.00787,                 1.5876,                 2.2382,                 31.082,                 1.2795,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.5523,                 1.9085,                 2.1999,                 1.2584,                0.01139,                    0.4,                0.01626,                0.00964,                0.01139,                    0.4,                0.01626,                0.00787,                 1.5876,                 2.2382,                 31.082,                 1.2795,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.8452,                 2.5924,                 2.6642,                 1.2337,                0.01139,                    0.4,                0.01626,                0.00964,                0.01139,                    0.4,                0.01626,                0.00787,                 1.5876,                 2.2382,                 31.082,                 1.2795,             0.00079233,             0.00079233,             0.00079233
